frame_index,frame_label,previous_frame_label,coordination_event_count,formed_count,broken_count,pair
1702,set_000__step_00085150,set_000__step_00085100,46,17,29,O-Zn
1703,set_000__step_00085200,set_000__step_00085150,65,35,30,O-Zn
1704,set_000__step_00085250,set_000__step_00085200,42,23,19,O-Zn
1705,set_000__step_00085300,set_000__step_00085250,49,27,22,O-Zn
1706,set_000__step_00085350,set_000__step_00085300,53,24,29,O-Zn
1707,set_000__step_00085400,set_000__step_00085350,48,28,20,O-Zn
1708,set_000__step_00085450,set_000__step_00085400,55,25,30,O-Zn
1709,set_000__step_00085500,set_000__step_00085450,47,22,25,O-Zn
1710,set_000__step_00085550,set_000__step_00085500,52,23,29,O-Zn
1711,set_000__step_00085600,set_000__step_00085550,66,37,29,O-Zn
1712,set_000__step_00085650,set_000__step_00085600,52,26,26,O-Zn
1713,set_000__step_00085700,set_000__step_00085650,60,33,27,O-Zn
1714,set_000__step_00085750,set_000__step_00085700,48,21,27,O-Zn
1715,set_000__step_00085800,set_000__step_00085750,45,21,24,O-Zn
1716,set_000__step_00085850,set_000__step_00085800,60,29,31,O-Zn
1717,set_000__step_00085900,set_000__step_00085850,55,30,25,O-Zn
1718,set_000__step_00085950,set_000__step_00085900,55,27,28,O-Zn
1719,set_000__step_00086000,set_000__step_00085950,59,30,29,O-Zn
1720,set_000__step_00086050,set_000__step_00086000,55,24,31,O-Zn
1721,set_000__step_00086100,set_000__step_00086050,57,34,23,O-Zn
1722,set_000__step_00086150,set_000__step_00086100,46,17,29,O-Zn
1723,set_000__step_00086200,set_000__step_00086150,58,35,23,O-Zn
1724,set_000__step_00086250,set_000__step_00086200,39,17,22,O-Zn
1725,set_000__step_00086300,set_000__step_00086250,53,26,27,O-Zn
1726,set_000__step_00086350,set_000__step_00086300,44,27,17,O-Zn
1727,set_000__step_00086400,set_000__step_00086350,46,20,26,O-Zn
1728,set_000__step_00086450,set_000__step_00086400,57,26,31,O-Zn
1729,set_000__step_00086500,set_000__step_00086450,53,29,24,O-Zn
1730,set_000__step_00086550,set_000__step_00086500,43,22,21,O-Zn
1731,set_000__step_00086600,set_000__step_00086550,59,29,30,O-Zn
1732,set_000__step_00086650,set_000__step_00086600,46,22,24,O-Zn
1733,set_000__step_00086700,set_000__step_00086650,46,22,24,O-Zn
1734,set_000__step_00086750,set_000__step_00086700,61,30,31,O-Zn
1735,set_000__step_00086800,set_000__step_00086750,58,29,29,O-Zn
1736,set_000__step_00086850,set_000__step_00086800,51,26,25,O-Zn
1737,set_000__step_00086900,set_000__step_00086850,46,26,20,O-Zn
1738,set_000__step_00086950,set_000__step_00086900,53,24,29,O-Zn
1739,set_000__step_00087000,set_000__step_00086950,59,32,27,O-Zn
1740,set_000__step_00087050,set_000__step_00087000,50,27,23,O-Zn
1741,set_000__step_00087100,set_000__step_00087050,54,22,32,O-Zn
1742,set_000__step_00087150,set_000__step_00087100,54,22,32,O-Zn
1743,set_000__step_00087200,set_000__step_00087150,53,34,19,O-Zn
1744,set_000__step_00087250,set_000__step_00087200,56,27,29,O-Zn
1745,set_000__step_00087300,set_000__step_00087250,51,24,27,O-Zn
1746,set_000__step_00087350,set_000__step_00087300,56,29,27,O-Zn
1747,set_000__step_00087400,set_000__step_00087350,55,24,31,O-Zn
1748,set_000__step_00087450,set_000__step_00087400,54,28,26,O-Zn
1749,set_000__step_00087500,set_000__step_00087450,61,27,34,O-Zn
1750,set_000__step_00087550,set_000__step_00087500,62,37,25,O-Zn
1751,set_000__step_00087600,set_000__step_00087550,46,23,23,O-Zn
1752,set_000__step_00087650,set_000__step_00087600,56,26,30,O-Zn
1753,set_000__step_00087700,set_000__step_00087650,45,28,17,O-Zn
1754,set_000__step_00087750,set_000__step_00087700,49,23,26,O-Zn
1755,set_000__step_00087800,set_000__step_00087750,45,20,25,O-Zn
1756,set_000__step_00087850,set_000__step_00087800,62,32,30,O-Zn
1757,set_000__step_00087900,set_000__step_00087850,53,25,28,O-Zn
1758,set_000__step_00087950,set_000__step_00087900,59,31,28,O-Zn
1759,set_000__step_00088000,set_000__step_00087950,48,25,23,O-Zn
1760,set_000__step_00088050,set_000__step_00088000,62,28,34,O-Zn
1761,set_000__step_00088100,set_000__step_00088050,58,29,29,O-Zn
1762,set_000__step_00088150,set_000__step_00088100,54,27,27,O-Zn
1763,set_000__step_00088200,set_000__step_00088150,54,29,25,O-Zn
1764,set_000__step_00088250,set_000__step_00088200,54,28,26,O-Zn
1765,set_000__step_00088300,set_000__step_00088250,48,20,28,O-Zn
1766,set_000__step_00088350,set_000__step_00088300,57,31,26,O-Zn
1767,set_000__step_00088400,set_000__step_00088350,58,25,33,O-Zn
1768,set_000__step_00088450,set_000__step_00088400,59,35,24,O-Zn
1769,set_000__step_00088500,set_000__step_00088450,42,21,21,O-Zn
1770,set_000__step_00088550,set_000__step_00088500,52,25,27,O-Zn
1771,set_000__step_00088600,set_000__step_00088550,51,28,23,O-Zn
1772,set_000__step_00088650,set_000__step_00088600,51,25,26,O-Zn
1773,set_000__step_00088700,set_000__step_00088650,43,24,19,O-Zn
1774,set_000__step_00088750,set_000__step_00088700,49,18,31,O-Zn
1775,set_000__step_00088800,set_000__step_00088750,57,28,29,O-Zn
1776,set_000__step_00088850,set_000__step_00088800,57,30,27,O-Zn
1777,set_000__step_00088900,set_000__step_00088850,46,26,20,O-Zn
1778,set_000__step_00088950,set_000__step_00088900,47,20,27,O-Zn
1779,set_000__step_00089000,set_000__step_00088950,63,32,31,O-Zn
1780,set_000__step_00089050,set_000__step_00089000,38,24,14,O-Zn
1781,set_000__step_00089100,set_000__step_00089050,46,22,24,O-Zn
1782,set_000__step_00089150,set_000__step_00089100,51,19,32,O-Zn
1783,set_000__step_00089200,set_000__step_00089150,57,26,31,O-Zn
1784,set_000__step_00089250,set_000__step_00089200,60,33,27,O-Zn
1785,set_000__step_00089300,set_000__step_00089250,60,33,27,O-Zn
1786,set_000__step_00089350,set_000__step_00089300,54,29,25,O-Zn
1787,set_000__step_00089400,set_000__step_00089350,43,21,22,O-Zn
1788,set_000__step_00089450,set_000__step_00089400,46,25,21,O-Zn
1789,set_000__step_00089500,set_000__step_00089450,62,25,37,O-Zn
1790,set_000__step_00089550,set_000__step_00089500,54,33,21,O-Zn
1791,set_000__step_00089600,set_000__step_00089550,47,17,30,O-Zn
1792,set_000__step_00089650,set_000__step_00089600,49,26,23,O-Zn
1793,set_000__step_00089700,set_000__step_00089650,54,26,28,O-Zn
1794,set_000__step_00089750,set_000__step_00089700,55,28,27,O-Zn
1795,set_000__step_00089800,set_000__step_00089750,53,28,25,O-Zn
1796,set_000__step_00089850,set_000__step_00089800,50,26,24,O-Zn
1797,set_000__step_00089900,set_000__step_00089850,49,23,26,O-Zn
1798,set_000__step_00089950,set_000__step_00089900,54,28,26,O-Zn
1799,set_000__step_00090000,set_000__step_00089950,57,33,24,O-Zn
1800,set_000__step_00090050,set_000__step_00090000,34,17,17,O-Zn
1801,set_000__step_00090100,set_000__step_00090050,51,18,33,O-Zn
1802,set_000__step_00090150,set_000__step_00090100,54,29,25,O-Zn
